topic,file,url,venue
off-farm-work,2024 - Tsiboe et al - Off-farm Employment and Body Mass Index Among Agrarian Women in Sub-Saharan Africa.pdf,,JAAEA
off-farm-work,"2016 - Tsiboe et al - Non-farm Work, Food Poverty, and Nutrient Availability in Northern Ghana.pdf",,Journal of Rural Studies
off-farm-work,2017 - Zereyesus et al - Implications of Non-farm Work to Vulnerability to Food Poverty in Northern Ghana.pdf,,World Development
