topic,file,url,venue
gender,2018 - Tsiboe et al - Health Effects of Women's Empowerment in Agriculture in Northern Ghana.pdf,,AfJARE
gender,2018 - Tsiboe et al - The Effect of Women's Empowerment in Agriculture on Household Nutrition and Food Poverty in Northern Ghana.pdf,,Social Indicators Research
gender,2025 - Tsiboe & Attah - Gender Gaps in Wages and Fringe Benefits - Insights From a Ghanaian Perspective.pdf,https://doi.org/10.1002/jid.70024,Journal of International Development
gender,2026 - Tsiboe et al - Gendered Preferences in Household Energy Use and Price Policy Responses in Ghana.pdf,https://doi.org/10.1016/j.enpol.2026.115445,Energy Policy
