"year","collective_if","n_papers","total_citations"
2018,0.829,2,2
2019,1.657,2,2
2020,1.657,2,3
2021,1.657,3,3
2022,1.762,6,7
2023,2.561,10,29
2024,2.889,14,64
2025,2.997,22,104
2026,3.001,25,132
