package,readme
arpcFCIP,../arpcFCIP/README.md
rfcipCalcPass,../rfcipCalcPass/README.md
rfcipCalibrate,../rfcipCalibrate/README.md
rfcipCalibrateExtended,../rfcipCalibrateExtended/README.md
rfcipReSim,../rfcipReSim/README.md
rfcipPRF,../rfcipPRF/README.md
rkfmaData,../rkfmaData/README.md
rAgroClimate,../rAgroClimate/README.md
arpcPriceBasis,../arpcPriceBasis/README.md
arpcCost,../arpcCost/README.md
