topic,file,url,venue
biotechnology,2015 - Wailes et al - Identifying and Analysing Barriers to the Acceptance and Use of GM Rice.pdf,,Book Chapter
biotechnology,2017 - Shew et al - New Innovations in Agricultural Biotech - Consumer Acceptance of Topical RNAi in Rice Production.pdf,,Food Control
biotechnology,2017 - Tsiboe et al - Ghanaian Consumers' Attitudes Toward Cisgenic Rice.pdf,,Ghana Journal of Development Studies
